R,Vobs,Vgas,Vdisk,Vbulge
0.26,14.6,-0.5,5.06,0.0
0.44,10.0,-0.86,8.17,0.0
0.77,10.7,-1.55,13.14,0.0
0.89,17.4,-1.78,14.55,0.0
1.22,23.5,-2.43,17.29,0.0
1.55,31.0,-2.98,18.37,0.0
1.8,32.3,-3.18,18.25,0.0
2.21,40.9,-3.53,19.06,0.0
2.31,43.8,-3.66,19.39,0.0
2.54,44.8,-4.08,20.16,0.0
3.1,51.7,-5.16,22.16,0.0
3.43,55.7,-4.94,23.71,0.0
3.86,59.4,-3.07,24.94,0.0
4.09,62.0,1.31,25.34,0.0
4.37,63.0,4.42,25.74,0.0
4.76,66.6,7.13,26.09,0.0
5.4,71.3,11.25,26.17,0.0
5.86,72.3,13.88,25.92,0.0
6.08,73.4,14.94,25.73,0.0
6.43,72.4,16.72,25.39,0.0
6.97,77.1,19.67,24.74,0.0
7.96,80.3,24.09,23.76,0.0
10.29,84.7,31.66,22.09,0.0
15.49,86.9,39.34,17.78,0.0
16.26,85.8,39.55,17.09,0.0
